"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.11.2024","53,85","54,71","55,12","53,52","26,45M","-1,88%"
"28.11.2024","54,88","56,79","56,99","54,23","50,11M","-3,36%"
"27.11.2024","56,79","56,60","57,48","54,01","53,77M","0,34%"
"26.11.2024","56,60","57,33","58,33","56,00","34,67M","-1,65%"
"25.11.2024","57,55","58,65","59,12","56,71","29,95M","-2,16%"
"22.11.2024","58,82","59,60","60,00","58,20","27,71M","-1,47%"
"21.11.2024","59,70","58,15","60,00","57,06","40,99M","2,67%"
"20.11.2024","58,15","60,14","60,57","57,10","49,97M","-3,00%"
"19.11.2024","59,95","62,00","62,39","59,21","49,74M","-3,43%"
"18.11.2024","62,08","62,05","63,00","61,53","37,28M","-2,79%"
"15.11.2024","63,86","61,49","63,86","61,35","72,27M","3,79%"
"14.11.2024","61,53","61,01","61,85","60,88","21,10M","0,60%"
"13.11.2024","61,16","60,60","62,08","60,60","24,06M","0,21%"
"12.11.2024","61,03","61,99","61,99","60,68","33,38M","-1,61%"
"11.11.2024","62,03","61,25","62,39","61,01","52,79M","2,14%"
"08.11.2024","60,73","59,30","60,89","58,34","56,62M","2,90%"
"07.11.2024","59,02","56,92","59,20","56,13","42,56M","3,67%"
"06.11.2024","56,93","57,90","59,79","56,59","101,41M","2,89%"
"05.11.2024","55,33","56,03","56,08","55,00","15,98M","-1,18%"
"02.11.2024","55,99","54,85","56,00","54,62","16,78M","1,86%"
"01.11.2024","54,97","54,20","55,05","53,70","30,48M","1,38%"
"31.10.2024","54,22","53,34","54,74","53,20","48,74M","1,50%"
"30.10.2024","53,42","56,35","57,39","53,40","61,52M","-4,79%"
"29.10.2024","56,11","53,95","56,79","53,53","53,15M","4,06%"